"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
32,"Arthropoda","Insecta","Coleoptera","Curculionidae","Griburius","sp.","","metabolic rate",488,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
33,"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Monoxia","sp.","","body mass",4.63,"mg",,,10,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
33,"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Monoxia","sp.","","metabolic rate",2259,"(O2) ul/g/h",20,,10,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
35,"Arthropoda","Insecta","Coleoptera","Histeridae","Saprinus","sp.","","body mass",8.21,"mg",,,16,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
35,"Arthropoda","Insecta","Coleoptera","Histeridae","Saprinus","sp.","","metabolic rate",967,"(O2) ul/g/h",20,,16,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
36,"Arthropoda","Insecta","Hemiptera","Formicidae","Pogonomyrmex","sp.","","body mass",3.74,"mg",,,10,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
36,"Arthropoda","Insecta","Hemiptera","Formicidae","Pogonomyrmex","sp.","","metabolic rate",3048,"(O2) ul/g/h",20,,10,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
37,"Arthropoda","Insecta","Hemiptera","Lygaeidae","Lygus","kalmii","","body mass",10.17,"mg",,,4,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
37,"Arthropoda","Insecta","Hemiptera","Lygaeidae","Lygus","kalmii","","metabolic rate",1735,"(O2) ul/g/h",20,,4,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
38,"Arthropoda","Insecta","Hemiptera","Pentatomidae","Dendrocoris","contaminatus","","body mass",11,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
38,"Arthropoda","Insecta","Hemiptera","Pentatomidae","Dendrocoris","contaminatus","","metabolic rate",1818,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
39,"Arthropoda","Insecta","Hemiptera","Miridae","Phytocoris","nigripubescens","","body mass",1.27,"mg",,,91,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
39,"Arthropoda","Insecta","Hemiptera","Miridae","Phytocoris","nigripubescens","","metabolic rate",2992,"(O2) ul/g/h",20,,91,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
40,"Arthropoda","Insecta","Hemiptera","Miridae","Slaterocoris","sp.","","body mass",0.86,"mg",,,18,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
40,"Arthropoda","Insecta","Hemiptera","Miridae","Slaterocoris","sp.","","metabolic rate",2384,"(O2) ul/g/h",20,,18,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
